"created_at","bpp_details.bpp_id","location_details.address.name"
"Jul 10, 2025 @ 12:37:04.688","webapi.magicpin.in/oms_partner/ondc","Dev Bhoomi Bhojanalaya"
"Jul 10, 2025 @ 12:37:04.687","webapi.magicpin.in/oms_partner/ondc","Colombo Idli House"
"Jul 10, 2025 @ 12:37:04.675","webapi.magicpin.in/oms_partner/ondc","Tanya Restaurants"
"Jul 10, 2025 @ 12:37:03.180","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:01.799","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:01.122","biz.enstore.com","-"
"Jul 10, 2025 @ 12:36:59.701","webapi.magicpin.in/oms_partner/ondc","Kolkata Famous Kati Roll"
"Jul 10, 2025 @ 12:36:59.632","biz.enstore.com","-"
"Jul 10, 2025 @ 12:36:59.479","webapi.magicpin.in/oms_partner/ondc","Glee Dessert"
"Jul 10, 2025 @ 12:36:58.079","webapi.magicpin.in/oms_partner/ondc","Chilli Chinese Restraunt"
"Jul 10, 2025 @ 12:36:58.077","webapi.magicpin.in/oms_partner/ondc","Hotel Shri"
"Jul 10, 2025 @ 12:36:57.780","webapi.magicpin.in/oms_partner/ondc","Sai Leela"
"Jul 10, 2025 @ 12:36:57.202","webapi.magicpin.in/oms_partner/ondc","Chawla Chicken Social"
"Jul 10, 2025 @ 12:36:56.995","webapi.magicpin.in/oms_partner/ondc","Prayagraj Ke Chole Samose"
"Jul 10, 2025 @ 12:36:56.913","webapi.magicpin.in/oms_partner/ondc","Glen's Bakehouse"
"Jul 10, 2025 @ 12:36:55.196","webapi.magicpin.in/oms_partner/ondc","Karachi Bakery"
"Jul 10, 2025 @ 12:36:54.012","webapi.magicpin.in/oms_partner/ondc","Hola Pasta - Fresh Gourmet Pasta"
"Jul 10, 2025 @ 12:36:53.523","webapi.magicpin.in/oms_partner/ondc","New Udupi Grand"
"Jul 10, 2025 @ 12:36:53.515","webapi.magicpin.in/oms_partner/ondc","Midnight Joe's"
"Jul 10, 2025 @ 12:36:53.093","webapi.magicpin.in/oms_partner/ondc","Hotel Shri"
"Jul 10, 2025 @ 12:36:53.085","webapi.magicpin.in/oms_partner/ondc","Hotel Sagar Ratna"
"Jul 10, 2025 @ 12:36:52.526","webapi.magicpin.in/oms_partner/ondc","Belly Cravings"
"Jul 10, 2025 @ 12:36:52.524","webapi.magicpin.in/oms_partner/ondc",Teadarzi
"Jul 10, 2025 @ 12:36:50.540","webapi.magicpin.in/oms_partner/ondc","Anna Dosa House"
"Jul 10, 2025 @ 12:36:50.362","webapi.magicpin.in/oms_partner/ondc","Sheetal Arch Restaurant"
"Jul 10, 2025 @ 12:36:50.165","webapi.magicpin.in/oms_partner/ondc","Kushi Food Corner"
